,Survived,Age,firstclass,secondclass,thirdclass,C,Q,S,female,male
62,1,29.0,0,0,1,0,0,1,0,1
63,0,28.0,1,0,0,0,0,1,0,1
64,1,17.0,0,1,0,0,0,1,1,0
65,1,33.0,0,0,1,0,0,1,1,0
66,0,16.0,0,0,1,0,0,1,0,1
67,1,23.0,1,0,0,0,0,1,1,0
68,0,24.0,0,0,1,0,0,1,0,1
69,0,29.0,0,0,1,0,0,1,0,1
70,0,20.0,0,0,1,0,0,1,0,1
71,0,46.0,1,0,0,0,0,1,0,1
72,0,26.0,0,0,1,0,0,1,0,1
73,0,59.0,0,0,1,0,0,1,0,1
74,0,71.0,1,0,0,1,0,0,0,1
75,1,23.0,1,0,0,1,0,0,0,1
76,1,34.0,0,1,0,0,0,1,1,0
77,0,34.0,0,1,0,0,0,1,0,1
78,0,28.0,0,0,1,0,0,1,1,0
79,0,21.0,1,0,0,0,0,1,0,1
80,0,33.0,0,0,1,0,0,1,0,1
81,0,37.0,0,0,1,0,0,1,0,1
82,0,28.0,0,0,1,0,0,1,0,1
83,1,21.0,0,0,1,0,0,1,1,0
84,0,38.0,0,0,1,0,0,1,0,1
85,0,47.0,1,0,0,0,0,1,0,1
86,0,14.5,0,0,1,1,0,0,1,0
87,0,22.0,0,0,1,0,0,1,0,1
88,0,20.0,0,0,1,0,0,1,1,0
89,0,17.0,0,0,1,1,0,0,1,0
90,0,21.0,0,0,1,0,0,1,0,1
91,0,70.5,0,0,1,0,1,0,0,1
92,0,29.0,0,1,0,0,0,1,0,1
93,0,24.0,1,0,0,1,0,0,0,1
94,0,2.0,0,0,1,0,0,1,1,0
95,0,21.0,0,1,0,0,0,1,0,1
96,0,32.5,0,1,0,1,0,0,0,1
97,1,32.5,0,1,0,0,0,1,1,0
98,0,54.0,1,0,0,0,0,1,0,1
99,1,12.0,0,0,1,1,0,0,0,1
100,1,24.0,0,0,1,0,0,1,0,1
101,0,45.0,0,0,1,0,0,1,0,1
102,0,33.0,0,0,1,1,0,0,0,1
103,0,20.0,0,0,1,0,0,1,0,1
104,0,47.0,0,0,1,0,0,1,1,0
105,1,29.0,0,1,0,0,0,1,1,0
106,0,25.0,0,1,0,0,0,1,0,1
107,0,23.0,0,1,0,1,0,0,0,1
108,1,19.0,1,0,0,0,0,1,1,0
109,0,37.0,1,0,0,0,0,1,0,1
110,0,16.0,0,0,1,0,0,1,0,1
111,0,24.0,1,0,0,1,0,0,0,1
112,1,22.0,0,0,1,0,0,1,1,0
113,1,24.0,0,0,1,0,0,1,1,0
114,0,19.0,0,0,1,0,1,0,0,1
115,0,18.0,0,1,0,0,0,1,0,1
116,0,19.0,0,1,0,0,0,1,0,1
117,1,27.0,0,0,1,0,0,1,0,1
118,0,9.0,0,0,1,0,0,1,1,0
119,0,36.5,0,1,0,0,0,1,0,1
120,0,42.0,0,1,0,0,0,1,0,1
121,0,51.0,0,1,0,0,0,1,0,1
122,1,22.0,1,0,0,0,0,1,1,0
123,0,55.5,0,0,1,0,0,1,0,1
124,0,40.5,0,0,1,0,0,1,0,1
125,0,51.0,1,0,0,1,0,0,0,1
126,1,16.0,0,0,1,0,1,0,1,0
127,0,30.0,0,0,1,0,0,1,0,1
128,0,44.0,0,0,1,0,0,1,0,1
129,1,40.0,0,1,0,0,0,1,1,0
130,0,26.0,0,0,1,0,0,1,0,1
131,0,17.0,0,0,1,0,0,1,0,1
132,0,1.0,0,0,1,0,0,1,0,1
133,1,9.0,0,0,1,0,0,1,0,1
134,0,45.0,0,0,1,0,0,1,1,0
135,0,28.0,0,0,1,0,0,1,0,1
136,0,61.0,1,0,0,0,0,1,0,1
137,0,4.0,0,0,1,0,1,0,0,1
138,1,1.0,0,0,1,0,0,1,1,0
139,0,21.0,0,0,1,0,0,1,0,1
140,0,56.0,1,0,0,1,0,0,0,1
141,0,18.0,0,0,1,0,0,1,0,1
142,0,50.0,1,0,0,1,0,0,1,0
143,0,30.0,0,1,0,0,0,1,0,1
144,0,36.0,0,0,1,0,0,1,0,1
145,0,9.0,0,0,1,0,0,1,0,1
146,1,1.0,0,1,0,0,0,1,0,1
147,1,4.0,0,0,1,0,0,1,1,0
148,1,45.0,1,0,0,0,0,1,0,1
149,0,40.0,0,0,1,0,1,0,0,1
150,0,36.0,0,0,1,0,0,1,0,1
151,1,32.0,0,1,0,0,0,1,1,0
152,0,19.0,0,1,0,0,0,1,0,1
153,1,19.0,0,0,1,0,0,1,1,0
154,1,3.0,0,1,0,0,0,1,0,1
155,1,44.0,1,0,0,1,0,0,1,0
156,1,58.0,1,0,0,1,0,0,1,0
157,0,42.0,0,0,1,0,0,1,0,1
158,0,24.0,0,1,0,0,0,1,1,0
159,0,28.0,0,0,1,0,0,1,0,1
160,0,34.0,0,0,1,0,0,1,0,1
161,0,45.5,0,0,1,1,0,0,0,1
162,1,18.0,0,0,1,0,0,1,0,1
163,0,2.0,0,0,1,0,0,1,1,0
164,0,32.0,0,0,1,0,0,1,0,1
165,1,26.0,0,0,1,1,0,0,0,1
166,1,16.0,0,0,1,0,1,0,1,0
167,1,40.0,1,0,0,1,0,0,0,1
168,0,24.0,0,0,1,0,0,1,0,1
169,1,35.0,0,1,0,0,0,1,1,0
170,0,22.0,0,0,1,0,0,1,0,1
171,0,30.0,0,1,0,0,0,1,0,1
172,1,31.0,1,0,0,1,0,0,1,0
173,1,27.0,0,0,1,0,0,1,1,0
174,0,42.0,0,1,0,0,0,1,0,1
175,1,32.0,1,0,0,1,0,0,1,0
176,0,30.0,0,1,0,0,0,1,0,1
177,1,16.0,0,0,1,0,0,1,0,1
178,0,27.0,0,1,0,0,0,1,0,1
179,0,51.0,0,0,1,0,0,1,0,1
180,1,38.0,1,0,0,0,0,1,0,1
181,0,22.0,0,0,1,0,0,1,0,1
182,1,19.0,0,1,0,0,0,1,0,1
183,0,20.5,0,0,1,0,0,1,0,1
184,0,18.0,0,1,0,0,0,1,0,1
185,1,35.0,1,0,0,0,0,1,1,0
186,0,29.0,0,0,1,0,0,1,0,1
187,0,59.0,0,1,0,0,0,1,0,1
188,1,5.0,0,0,1,0,0,1,1,0
189,0,24.0,0,1,0,0,0,1,0,1
190,0,44.0,0,1,0,0,0,1,0,1
191,1,8.0,0,1,0,0,0,1,1,0
192,0,19.0,0,1,0,0,0,1,0,1
193,0,33.0,0,1,0,0,0,1,0,1
194,0,29.0,0,1,0,0,0,1,0,1
195,0,22.0,0,0,1,0,0,1,0,1
196,0,30.0,0,0,1,1,0,0,0,1
197,0,44.0,1,0,0,0,1,0,0,1
198,0,25.0,0,0,1,0,0,1,1,0
199,1,24.0,0,1,0,0,0,1,1,0
200,1,37.0,1,0,0,0,0,1,0,1
201,0,54.0,0,1,0,0,0,1,0,1
202,0,29.0,0,0,1,0,0,1,1,0
203,0,62.0,1,0,0,0,0,1,0,1
204,0,30.0,0,0,1,0,0,1,0,1
205,0,41.0,0,0,1,0,0,1,1,0
206,1,29.0,0,0,1,1,0,0,1,0
207,1,30.0,1,0,0,0,0,1,1,0
208,1,35.0,1,0,0,1,0,0,1,0
209,1,50.0,0,1,0,0,0,1,1,0
210,1,3.0,0,0,1,0,0,1,0,1
211,0,52.0,1,0,0,0,0,1,0,1
212,0,40.0,1,0,0,0,0,1,0,1
213,0,36.0,0,1,0,0,0,1,0,1
214,0,16.0,0,0,1,0,0,1,0,1
215,1,25.0,0,0,1,0,0,1,0,1
216,1,58.0,1,0,0,0,0,1,1,0
217,1,35.0,1,0,0,0,0,1,1,0
218,1,25.0,0,0,1,0,0,1,0,1
219,1,41.0,0,1,0,0,0,1,1,0
220,0,37.0,1,0,0,1,0,0,0,1
221,1,63.0,1,0,0,0,0,1,1,0
222,0,45.0,0,0,1,0,0,1,1,0
223,0,7.0,0,0,1,0,1,0,0,1
224,1,35.0,0,0,1,0,0,1,1,0
225,0,65.0,0,0,1,0,1,0,0,1
226,0,28.0,0,0,1,0,0,1,0,1
227,0,16.0,0,0,1,0,0,1,0,1
228,1,19.0,0,0,1,0,0,1,0,1
229,0,33.0,0,0,1,1,0,0,0,1
230,1,30.0,0,0,1,0,0,1,0,1
231,0,22.0,0,0,1,0,0,1,0,1
232,1,42.0,0,1,0,0,0,1,0,1
233,1,22.0,0,0,1,0,1,0,1,0
234,1,26.0,1,0,0,0,0,1,1,0
235,1,19.0,1,0,0,1,0,0,1,0
236,0,36.0,0,1,0,1,0,0,0,1
237,0,24.0,0,0,1,0,0,1,1,0
238,0,24.0,0,0,1,0,0,1,0,1
239,0,23.5,0,0,1,1,0,0,0,1
240,0,2.0,1,0,0,0,0,1,1,0
241,1,50.0,1,0,0,1,0,0,1,0
242,0,19.0,0,0,1,0,0,1,0,1
243,1,0.92,1,0,0,0,0,1,0,1
244,1,17.0,1,0,0,1,0,0,1,0
245,0,30.0,0,1,0,1,0,0,0,1
246,1,30.0,1,0,0,1,0,0,1,0
247,1,24.0,1,0,0,1,0,0,1,0
248,1,18.0,1,0,0,1,0,0,1,0
249,0,26.0,0,1,0,0,0,1,1,0
250,0,28.0,0,0,1,0,0,1,0,1
251,0,43.0,0,1,0,0,0,1,0,1
252,1,26.0,0,0,1,0,0,1,1,0
253,1,24.0,0,1,0,0,0,1,1,0
254,0,54.0,0,1,0,0,0,1,0,1
255,1,31.0,1,0,0,0,0,1,1,0
256,1,40.0,1,0,0,1,0,0,1,0
257,0,22.0,0,0,1,0,0,1,0,1
258,0,27.0,0,0,1,0,0,1,0,1
259,1,30.0,0,1,0,0,1,0,1,0
260,1,22.0,0,1,0,0,0,1,1,0
261,1,36.0,1,0,0,1,0,0,1,0
262,0,61.0,0,0,1,0,0,1,0,1
263,1,36.0,0,1,0,0,0,1,1,0
264,1,31.0,0,0,1,0,0,1,1,0
265,1,16.0,1,0,0,1,0,0,1,0
266,0,45.5,1,0,0,0,0,1,0,1
267,0,38.0,1,0,0,0,0,1,0,1
268,0,16.0,0,0,1,0,0,1,0,1
269,0,29.0,1,0,0,0,0,1,0,1
270,1,41.0,1,0,0,1,0,0,1,0
271,1,45.0,0,0,1,0,0,1,0,1
272,0,45.0,1,0,0,0,0,1,0,1
273,1,2.0,0,1,0,0,0,1,0,1
274,1,24.0,1,0,0,0,0,1,1,0
275,0,28.0,0,1,0,0,0,1,0,1
276,0,25.0,0,1,0,0,0,1,0,1
277,0,36.0,0,1,0,0,0,1,0,1
278,1,24.0,0,1,0,0,0,1,1,0
279,1,40.0,0,1,0,0,0,1,1,0
280,1,3.0,0,0,1,0,0,1,0,1
281,0,42.0,0,0,1,0,0,1,0,1
282,0,23.0,0,0,1,0,0,1,0,1
283,0,15.0,0,0,1,1,0,0,0,1
284,0,25.0,0,0,1,0,0,1,0,1
285,0,28.0,0,0,1,0,0,1,0,1
286,1,22.0,1,0,0,0,0,1,1,0
287,0,38.0,0,1,0,0,0,1,1,0
288,0,40.0,0,0,1,0,0,1,0,1
289,0,29.0,0,1,0,1,0,0,0,1
290,0,45.0,0,0,1,1,0,0,1,0
291,0,35.0,0,0,1,0,0,1,0,1
292,0,30.0,0,0,1,0,0,1,0,1
293,1,60.0,1,0,0,1,0,0,1,0
294,1,24.0,1,0,0,1,0,0,1,0
295,1,25.0,1,0,0,1,0,0,0,1
296,0,18.0,0,0,1,0,0,1,0,1
297,0,19.0,0,0,1,0,0,1,0,1
298,0,22.0,1,0,0,1,0,0,0,1
299,0,3.0,0,0,1,0,0,1,1,0
300,1,22.0,0,0,1,0,0,1,1,0
301,0,27.0,1,0,0,1,0,0,0,1
302,0,20.0,0,0,1,1,0,0,0,1
303,0,19.0,0,0,1,0,0,1,0,1
304,1,42.0,1,0,0,1,0,0,1,0
305,1,1.0,0,0,1,1,0,0,1,0
306,0,32.0,0,0,1,0,0,1,0,1
307,1,35.0,1,0,0,0,0,1,1,0
308,0,18.0,0,1,0,0,0,1,0,1
309,0,1.0,0,0,1,0,0,1,0,1
310,1,36.0,0,1,0,0,0,1,1,0
311,1,17.0,0,1,0,1,0,0,1,0
312,1,36.0,1,0,0,0,0,1,0,1
313,1,21.0,0,0,1,0,0,1,0,1
314,0,28.0,0,0,1,0,0,1,0,1
315,1,23.0,1,0,0,1,0,0,1,0
316,1,24.0,0,0,1,0,0,1,1,0
317,0,22.0,0,0,1,0,0,1,0,1
318,0,31.0,0,0,1,0,0,1,1,0
319,0,46.0,0,1,0,0,0,1,0,1
320,0,23.0,0,1,0,0,0,1,0,1
321,1,28.0,0,1,0,0,0,1,1,0
322,1,39.0,0,0,1,0,0,1,0,1
323,0,26.0,0,0,1,0,0,1,0,1
324,0,21.0,0,0,1,0,0,1,1,0
325,0,28.0,0,0,1,0,0,1,0,1
326,0,20.0,0,0,1,0,0,1,1,0
327,0,34.0,0,1,0,0,0,1,0,1
328,0,51.0,0,0,1,0,0,1,0,1
329,1,3.0,0,1,0,0,0,1,0,1
330,0,21.0,0,0,1,0,0,1,0,1
331,1,33.0,1,0,0,0,1,0,1,0
332,1,44.0,0,0,1,0,0,1,0,1
333,1,34.0,0,1,0,0,0,1,1,0
334,1,18.0,0,1,0,0,0,1,1,0
335,0,30.0,0,1,0,0,0,1,0,1
336,0,10.0,0,0,1,0,0,1,1,0
337,0,21.0,0,0,1,0,1,0,0,1
338,0,29.0,0,0,1,0,0,1,0,1
339,0,28.0,0,0,1,0,0,1,1,0
340,0,18.0,0,0,1,0,0,1,0,1
341,1,28.0,0,1,0,0,0,1,1,0
342,1,19.0,0,1,0,0,0,1,1,0
343,1,32.0,0,0,1,0,0,1,0,1
344,1,28.0,1,0,0,0,0,1,0,1
345,1,42.0,0,1,0,0,0,1,1,0
346,0,17.0,0,0,1,0,0,1,0,1
347,0,50.0,1,0,0,0,0,1,0,1
348,1,14.0,1,0,0,0,0,1,1,0
349,0,21.0,0,0,1,0,0,1,1,0
350,1,24.0,0,1,0,0,0,1,1,0
351,0,64.0,1,0,0,0,0,1,0,1
352,0,31.0,0,1,0,0,0,1,0,1
353,1,45.0,0,1,0,0,0,1,1,0
354,0,20.0,0,0,1,0,0,1,0,1
355,0,25.0,0,0,1,0,0,1,0,1
356,1,28.0,0,1,0,0,0,1,1,0
357,1,4.0,1,0,0,0,0,1,0,1
358,1,13.0,0,1,0,0,0,1,1,0
359,1,34.0,1,0,0,0,0,1,0,1
360,1,5.0,0,0,1,1,0,0,1,0
361,1,52.0,1,0,0,0,0,1,0,1
362,0,36.0,0,1,0,0,0,1,0,1
363,0,30.0,1,0,0,1,0,0,0,1
364,1,49.0,1,0,0,1,0,0,0,1
365,1,29.0,0,0,1,1,0,0,0,1
366,0,65.0,1,0,0,0,0,1,0,1
367,1,50.0,0,1,0,0,0,1,1,0
368,1,48.0,1,0,0,0,0,1,0,1
369,0,34.0,0,0,1,0,0,1,0,1
370,0,47.0,1,0,0,0,0,1,0,1
371,0,48.0,0,1,0,0,0,1,0,1
372,0,38.0,0,0,1,0,0,1,0,1
373,0,56.0,1,0,0,0,0,1,0,1
374,1,0.75,0,0,1,1,0,0,1,0
375,0,38.0,0,0,1,0,0,1,0,1
376,1,33.0,0,1,0,0,0,1,1,0
377,1,23.0,0,1,0,1,0,0,1,0
378,0,22.0,0,0,1,0,0,1,1,0
379,0,34.0,0,1,0,0,0,1,0,1
380,0,29.0,0,0,1,0,0,1,0,1
381,0,22.0,0,0,1,0,0,1,0,1
382,1,2.0,0,0,1,0,0,1,1,0
383,0,9.0,0,0,1,0,0,1,0,1
384,0,50.0,0,0,1,0,0,1,0,1
385,1,63.0,0,0,1,0,0,1,1,0
386,1,25.0,1,0,0,1,0,0,0,1
387,1,35.0,1,0,0,0,0,1,1,0
388,0,58.0,1,0,0,1,0,0,0,1
389,0,30.0,0,0,1,0,0,1,0,1
390,1,9.0,0,0,1,0,0,1,0,1
391,0,21.0,0,0,1,0,0,1,0,1
392,0,55.0,1,0,0,0,0,1,0,1
393,0,71.0,1,0,0,1,0,0,0,1
394,0,21.0,0,0,1,0,0,1,0,1
395,1,54.0,1,0,0,1,0,0,1,0
396,0,25.0,1,0,0,0,0,1,1,0
397,0,24.0,0,0,1,0,0,1,0,1
398,0,17.0,0,0,1,0,0,1,0,1
399,0,21.0,0,0,1,0,1,0,1,0
400,0,37.0,0,0,1,0,0,1,1,0
401,1,16.0,1,0,0,0,0,1,1,0
402,0,18.0,1,0,0,1,0,0,0,1
403,1,33.0,0,1,0,0,0,1,1,0
404,0,28.0,0,0,1,0,0,1,0,1
405,1,26.0,0,0,1,0,0,1,0,1
406,1,29.0,0,0,1,0,1,0,0,1
407,1,36.0,1,0,0,0,0,1,0,1
408,1,54.0,1,0,0,1,0,0,1,0
409,0,24.0,0,0,1,0,0,1,0,1
410,0,47.0,1,0,0,0,0,1,0,1
411,1,34.0,0,1,0,0,0,1,1,0
412,1,36.0,0,1,0,0,0,1,1,0
413,0,32.0,0,0,1,0,0,1,0,1
414,1,30.0,1,0,0,0,0,1,1,0
415,0,22.0,0,0,1,0,0,1,0,1
416,1,44.0,1,0,0,1,0,0,1,0
417,0,40.5,0,0,1,0,1,0,0,1
418,1,50.0,0,1,0,0,0,1,1,0
419,0,39.0,0,0,1,0,0,1,0,1
420,0,23.0,0,1,0,0,0,1,0,1
421,1,2.0,0,1,0,0,0,1,1,0
422,0,17.0,0,0,1,1,0,0,0,1
423,0,30.0,0,0,1,0,0,1,1,0
424,1,7.0,0,1,0,0,0,1,1,0
425,0,45.0,1,0,0,0,0,1,0,1
426,1,30.0,1,0,0,1,0,0,1,0
427,1,22.0,1,0,0,1,0,0,1,0
428,1,36.0,1,0,0,0,0,1,1,0
429,0,9.0,0,0,1,0,0,1,1,0
430,0,11.0,0,0,1,0,0,1,1,0
431,1,32.0,0,1,0,0,0,1,0,1
432,0,50.0,1,0,0,1,0,0,0,1
433,0,64.0,1,0,0,0,0,1,0,1
434,1,19.0,0,1,0,0,0,1,1,0
435,0,33.0,0,0,1,0,0,1,0,1
436,1,8.0,0,1,0,0,0,1,0,1
437,1,17.0,1,0,0,1,0,0,0,1
438,0,27.0,0,1,0,0,0,1,0,1
439,1,22.0,0,0,1,1,0,0,0,1
440,1,22.0,0,0,1,0,0,1,1,0
441,0,62.0,1,0,0,0,0,1,0,1
442,1,48.0,1,0,0,1,0,0,1,0
443,1,39.0,1,0,0,0,0,1,1,0
444,1,36.0,0,0,1,0,0,1,1,0
445,0,40.0,0,0,1,0,0,1,0,1
446,0,28.0,0,1,0,0,0,1,0,1
447,0,24.0,0,0,1,0,0,1,0,1
448,0,19.0,0,0,1,0,0,1,0,1
449,0,29.0,0,0,1,0,0,1,1,0
450,1,32.0,0,0,1,0,0,1,0,1
451,1,62.0,0,1,0,0,0,1,0,1
452,1,53.0,1,0,0,0,0,1,1,0
453,1,36.0,1,0,0,0,0,1,0,1
454,0,16.0,0,0,1,0,0,1,0,1
455,0,19.0,0,0,1,0,0,1,0,1
456,1,34.0,0,1,0,0,0,1,1,0
457,1,39.0,1,0,0,0,0,1,1,0
458,1,32.0,0,0,1,0,0,1,0,1
459,1,25.0,0,1,0,0,0,1,1,0
460,1,39.0,1,0,0,1,0,0,1,0
461,0,54.0,0,1,0,0,0,1,0,1
462,0,36.0,1,0,0,1,0,0,0,1
463,1,18.0,1,0,0,0,0,1,1,0
464,0,47.0,0,1,0,0,0,1,0,1
465,1,60.0,1,0,0,1,0,0,0,1
466,0,22.0,0,0,1,0,0,1,0,1
467,0,35.0,0,0,1,0,0,1,0,1
468,1,52.0,1,0,0,1,0,0,1,0
469,0,47.0,0,0,1,0,0,1,0,1
470,0,37.0,0,1,0,0,0,1,0,1
471,0,36.0,0,0,1,0,0,1,0,1
472,0,49.0,0,0,1,0,0,1,0,1
473,1,49.0,1,0,0,1,0,0,0,1
474,1,24.0,0,1,0,0,0,1,1,0
475,0,44.0,0,0,1,0,0,1,0,1
476,1,35.0,1,0,0,1,0,0,0,1
477,0,36.0,0,0,1,0,0,1,0,1
478,0,30.0,0,0,1,0,0,1,0,1
479,1,27.0,1,0,0,0,0,1,0,1
480,1,22.0,0,1,0,1,0,0,1,0
481,1,40.0,1,0,0,0,0,1,1,0
482,0,39.0,0,0,1,0,0,1,1,0
483,0,35.0,0,0,1,0,0,1,0,1
484,1,24.0,0,1,0,0,0,1,1,0
485,0,34.0,0,0,1,0,0,1,0,1
486,0,26.0,0,0,1,0,0,1,1,0
487,1,4.0,0,1,0,0,0,1,1,0
488,0,26.0,0,1,0,0,0,1,0,1
489,0,27.0,0,0,1,1,0,0,0,1
490,1,42.0,1,0,0,0,0,1,0,1
491,1,20.0,0,0,1,1,0,0,0,1
492,0,21.0,0,0,1,0,0,1,0,1
493,0,21.0,0,0,1,0,0,1,0,1
494,0,61.0,1,0,0,0,0,1,0,1
495,0,57.0,0,1,0,0,1,0,0,1
496,1,21.0,1,0,0,0,0,1,1,0
497,0,26.0,0,0,1,0,0,1,0,1
498,1,80.0,1,0,0,0,0,1,0,1
499,0,51.0,0,0,1,0,0,1,0,1
500,1,32.0,1,0,0,1,0,0,0,1
501,0,9.0,0,0,1,0,0,1,1,0
502,1,28.0,0,1,0,0,0,1,1,0
503,0,32.0,0,0,1,0,0,1,0,1
504,0,31.0,0,1,0,0,0,1,0,1
505,0,41.0,0,0,1,0,0,1,1,0
506,0,20.0,0,0,1,0,0,1,0,1
507,1,24.0,1,0,0,1,0,0,1,0
508,0,2.0,0,0,1,0,0,1,1,0
509,1,0.75,0,0,1,1,0,0,1,0
510,1,48.0,1,0,0,1,0,0,0,1
511,0,19.0,0,0,1,0,0,1,0,1
512,1,56.0,1,0,0,1,0,0,0,1
513,1,23.0,0,0,1,0,0,1,1,0
514,1,18.0,0,1,0,0,0,1,1,0
515,0,21.0,0,0,1,0,0,1,0,1
516,0,18.0,0,0,1,0,1,0,1,0
517,0,24.0,0,1,0,0,0,1,0,1
518,0,32.0,0,0,1,0,1,0,1,0
519,0,23.0,0,1,0,0,0,1,0,1
520,0,58.0,1,0,0,1,0,0,0,1
521,1,50.0,1,0,0,0,0,1,0,1
522,0,40.0,0,0,1,1,0,0,0,1
523,0,47.0,1,0,0,0,0,1,0,1
524,0,36.0,0,0,1,0,0,1,0,1
525,1,20.0,0,0,1,0,0,1,0,1
526,0,32.0,0,1,0,0,0,1,0,1
527,0,25.0,0,1,0,0,0,1,0,1
528,0,43.0,0,0,1,0,0,1,0,1
529,1,40.0,0,1,0,0,0,1,1,0
530,0,31.0,1,0,0,0,0,1,0,1
531,0,70.0,0,1,0,0,0,1,0,1
532,1,31.0,0,1,0,0,0,1,0,1
533,0,18.0,0,0,1,0,0,1,0,1
534,0,24.5,0,0,1,0,0,1,0,1
535,1,18.0,0,0,1,0,0,1,1,0
536,0,43.0,0,0,1,0,0,1,1,0
537,1,36.0,1,0,0,1,0,0,0,1
538,1,27.0,1,0,0,1,0,0,0,1
539,0,20.0,0,0,1,0,0,1,0,1
540,0,14.0,0,0,1,0,0,1,0,1
541,0,60.0,0,1,0,0,0,1,0,1
542,0,25.0,0,1,0,1,0,0,0,1
543,0,14.0,0,0,1,0,0,1,0,1
544,0,19.0,0,0,1,0,0,1,0,1
545,0,18.0,0,0,1,0,0,1,0,1
546,1,15.0,1,0,0,0,0,1,1,0
547,1,31.0,1,0,0,0,0,1,0,1
548,1,4.0,0,0,1,1,0,0,1,0
549,0,25.0,0,0,1,1,0,0,0,1
550,0,60.0,1,0,0,0,0,1,0,1
551,0,52.0,0,1,0,0,0,1,0,1
552,0,44.0,0,0,1,0,0,1,0,1
553,0,49.0,1,0,0,1,0,0,0,1
554,0,42.0,0,0,1,0,0,1,0,1
555,1,18.0,1,0,0,1,0,0,1,0
556,1,35.0,1,0,0,0,0,1,0,1
557,0,18.0,0,0,1,1,0,0,1,0
558,0,25.0,0,0,1,0,1,0,0,1
559,0,26.0,0,0,1,0,0,1,0,1
560,0,39.0,0,1,0,0,0,1,0,1
561,1,45.0,0,1,0,0,0,1,1,0
562,1,42.0,1,0,0,0,0,1,0,1
563,1,22.0,1,0,0,0,0,1,1,0
564,1,24.0,1,0,0,1,0,0,1,0
565,1,48.0,1,0,0,0,0,1,0,1
566,0,29.0,0,0,1,0,0,1,0,1
567,0,52.0,0,1,0,0,0,1,0,1
568,0,19.0,0,0,1,0,0,1,0,1
569,1,38.0,1,0,0,1,0,0,1,0
570,1,27.0,0,1,0,0,0,1,1,0
571,0,33.0,0,0,1,0,0,1,0,1
572,1,6.0,0,1,0,0,0,1,1,0
573,0,17.0,0,0,1,0,0,1,0,1
574,0,34.0,0,1,0,0,0,1,0,1
575,0,50.0,0,1,0,0,0,1,0,1
576,1,27.0,1,0,0,0,0,1,0,1
577,0,20.0,0,0,1,0,0,1,0,1
578,1,30.0,0,1,0,0,0,1,1,0
579,0,25.0,0,1,0,0,0,1,0,1
